판매처코드,판매처명
1301397,ユアサ・フナショク株式会社千葉支店
1301399,ユアサ・フナショク株式会社横浜支店
1301402,三菱食品株式会社広域流通本部広域営業グループ
1301403,三菱食品株式会社営業第二本部東関東支店
1301405,三菱食品株式会社営業第二本部山梨エリアオフィス
1301408,三菱食品（株）東北支社南東北支店福島ユニット
1301412,三菱食品株式会社東北支社加食営業第二部
1301421,国分北海道株式会社
1301502,株式会社日本アクセス京都支店物流センター
1301506,株式会社日本アクセス姫路支店物流センター
1301508,株式会社日本アクセス静岡支店
1301516,株式会社日本アクセス神戸支店
1301517,株式会社日本アクセス京都支店
1301519,株式会社日本アクセス鹿児島支店
1301572,株式会社日本アクセス福岡支店
1301581,ユアサ・フナショク株式会社旭支店倉庫
1301607,加藤産業株式会社東北支社山形営業所
1301608,加藤産業株式会社東北支社秋田支店
1301609,旭食品株式会社松山支店新居浜営業所
1301610,旭食品株式会社徳島支店
1301612,旭食品株式会社宿毛支店
1301614,旭食品株式会社広島支店
1301615,旭食品株式会社中国支店
1301616,*旭食品株式会社境港支店
1301619,旭食品株式会社宮崎営業所
1301622,ヤマキ株式会社静岡倉庫
1301624,旭食品株式会社和歌山支店
1301625,旭食品株式会社京都支店
1301627,旭食品株式会社神戸支店
1301629,旭食品株式会社名古屋支店
1301654,三井物産流通G（株）首都圏支社中央営業部営業第二室
1301655,三井食品株式会社首都圏支社広域営業部
1301656,三井物産流通グループ株式会社業務用食材本部卸営業部
1301657,三井物産流通Ｇ（株）三井食品ユニット首都圏中央営業4室関信越
1301657,三井食品株式会社業務用食材本部卸営業部関信越営業所
1301658,三井物産流通グループ株式会社九州支社広域営業室
1301659,三井物産流通グループ株式会社九州支社北部九州営業室
1301660,三井物産流通グループ株式会社九州支社南九州営業室
1301661,三井物産流通グループ株式会社フードサービス室
1301669,三菱食品株式会社北海道支社加食営業部
1301670,三菱食品株式会社営業第一本部加食本部共通
1301674,三菱食品株式会社中四国支社加食営業部
1301675,三菱食品（株）中四国支社営業グループ岡山ユニット
1301677,三菱食品（株）中部支社北陸支店営業Ｂユニット
1301683,三菱食品（株）中四国支社四国支店高知ユニット
1301684,三菱食品（株）中四国支社四国支店愛媛ユニット
1301685,三菱食品（株）中四国支社四国支店営業ユニット
1301686,三菱食品株式会社ＮＣ事業本部加食共通
1301687,三菱食品（株）北海道支社北見ユニット
1301700,加藤産業株式会社北海道支社札幌支店
1301748,株式会社湧川商会
1301750,株式会社タジマヤ本社経理部
1301803,加藤産業株式会社南近畿支社阪和支店
1301804,加藤産業株式会社南近畿支社阪南支店
1301842,北陸中央食品株式会社
1301843,中村角株式会社常温食品部
1301850,ヤマエ久野株式会社熊本支店食品課
1301852,ヤマエ久野株式会社大分支店食品課
1301853,ヤマエ久野株式会社宮崎支店食品課
1301855,ヤマエ久野株式会社鹿児島支店食品課
1301859,株式会社メイカングループ沼津支店
1301861,株式会社大光アミカ事業部輪之内物流センター
1301863,株式会社メイカングループ浜松本社
1301870,株式会社日本アクセス長野支店
1301894,カナカン株式会社食品新潟営業所
1301908,株式会社サンヨー堂東京東支店
1301916,君沢サンヨー株式会社
1301951,加藤産業株式会社九州支社長崎支店
1301994,国分九州株式会社沖縄支店
1301995,国分九州株式会社沖縄支店ホクガン物流センター
1302002,株式会社日本アクセス山陰支店
1302019,三菱食品株式会社関西支社営業第四部
1302020,国分首都圏株式会社CVS営業部
1302024,加藤産業株式会社九州支社宮崎営業所
1302036,国分西日本株式会社山陰支店
1302038,三井物産流通グループ株式会社中四国支社食品営業部
1302104,*加藤産業株式会社九州支社山口営業所
1302651,ボーキ佐藤株式会社仙台支店（千坂）
1302675,国分首都圏株式会社SM・生協営業部（ユーコープ）
1302814,国分首都圏株式会社神奈川支社
1302822,イオンリテール株式会社（関東RDC）
1302826,イオンリテール株式会社（中部RDC）
1302828,イオンリテール株式会社（兵庫RDC）
1302935,旭食品株式会社中四国支社九州中央支店
1302952,丸大堀内株式会社山形支店
1302957,国分中部株式会社静岡支店
1302959,伊藤忠食品株式会社東日本営業本部（CVS）
1302971,株式会社日本アクセス北海道（CVS）
1302976,株式会社トーカン商品統括部（CVS)
1302995,加藤産業株式会社中部支社静岡営業所
1303000,三井物産流通グループ株式会社中部支社静岡支店
1303006,三菱食品株式会社ＣＶＳ本部
1303013,三井物産流通グループ株式会社中部支社中部営業部
1303013,三井食品株式会社中部支社中部営業部
1303015,国分首都圏株式会社第一営業本部（CVS)
1303017,株式会社日本アクセス広域リテール営業本部九州支店鹿児島営業所
1303023,株式会社日本アクセス北陸支店
1303045,ヤマエ久野株式会社長崎支店食品課
1303065,イオンリテール株式会社（九州RDC)
1303184,三菱食品株式会社関東支社加食本部営業第一部
1303187,三菱食品株式会社中部支社加食営業第二部
1303188,三菱食品株式会社営業第二本部ホールセラーグループ
1303189,ヤマエ久野株式会社大阪支店食品課
1303269,国分首都圏株式会社業務用営業部
