대표슈퍼코드,대표슈퍼명,판매처코드,판매처명
6000906,■株式会社ノムラストアー,1301614,旭食品株式会社広島支店
6000907,■株式会社ツルハグループドラッグ＆ファーマシー西日本　　,1301614,旭食品株式会社広島支店
6000908,■株式会社ハートフレンド,1301625,旭食品株式会社京都支店
6000909,■株式会社ハズイ食料品店,1301625,旭食品株式会社京都支店
6000913,■株式会社パルパ,1301614,旭食品株式会社広島支店
6000915,■株式会社ヒーロー(茨城),1300058,旭食品株式会社関東支店
6000916,■株式会社ヒダカヤ,1301624,旭食品株式会社和歌山支店
6000917,■株式会社ビッグナラ,1301625,旭食品株式会社京都支店
6000935,■株式会社マルサンシステム,1300058,旭食品株式会社関東支店
6000936,■株式会社マルシゲ,1301625,旭食品株式会社京都支店
6000938,■株式会社マルナカ(香川),1301803,加藤産業株式会社南近畿支社阪和支店
6000939,■株式会社マルワ渡辺水産,1301616,*旭食品株式会社境港支店
6000943,■株式会社ヤオキスーパー,1301629,旭食品株式会社名古屋支店
6000944,■株式会社ヤオミ,1300095,三菱食品株式会社中部支社営業部
6000946,■株式会社ヤマタ,1301804,加藤産業株式会社南近畿支社阪南支店
6000948,■株式会社ユアーズ,1301614,旭食品株式会社広島支店
6000954,■株式会社よどや,1300050,旭食品株式会社中四国支社高知支店
6000956,■株式会社リバティ長岡,1300077,株式会社大物
6000958,■株式会社ロピア,1303189,ヤマエ久野株式会社大阪支店食品課
6000960,■株式会社ワタナベストアー,1301336,ユアサ・フナショク株式会社松戸支店
6000965,■株式会社荏原屋,1300003,加藤産業株式会社南関東支社南東京支店
6000967,■株式会社音通エフ・リテール,1303189,ヤマエ久野株式会社大阪支店食品課
6000969,■株式会社灰吹屋薬局,1300056,旭食品株式会社首都圏支店
6000970,■株式会社丸久,1300049,国分西日本株式会社山口支店
6000971,■株式会社丸合,1301616,*旭食品株式会社境港支店
6000978,■株式会社ローソンストア100,1301380,国分首都圏株式会社SM・生協営業部
6000987,■株式会社サンヨネ,1303013,三井物産流通グループ株式会社中部支社中部営業部
6000988,■株式会社三豊,1300011,加藤産業株式会社北近畿支社北大阪支店
6000992,■株式会社山信商店,1300062,伊藤忠食品株式会社東海営業本部
6000993,■株式会社山彦,1300062,伊藤忠食品株式会社東海営業本部
6000994,■株式会社山本酒店,1301803,加藤産業株式会社南近畿支社阪和支店
6000999,■株式会社小林食品,1300189,コゲツ産業（株）福岡支店
6001001,■株式会社松山生協,1300055,旭食品株式会社松山支店
6001003,■株式会社食品の店おおた,1301399,ユアサ・フナショク株式会社横浜支店
6001004,■株式会社神鉄エンタープライズ,1300019,加藤産業株式会社西近畿支社神姫支店
6001005,■株式会社瀬戸内,1301615,旭食品株式会社中国支店
6001006,■株式会社石川屋,1300062,伊藤忠食品株式会社東海営業本部
6001010,■株式会社大国屋,1301517,株式会社日本アクセス京都支店
6001013,■株式会社大門サンケイ,1300003,加藤産業株式会社南関東支社南東京支店
6001016,■株式会社中村屋(奈良),1301625,旭食品株式会社京都支店
6001027,■株式会社武田商店,1300199,ボーキ佐藤株式会社郡山支店
6001031,■株式会社末広,1300050,旭食品株式会社中四国支社高知支店
6001032,■株式会社木村チェーン,1300027,加藤産業株式会社中四国支社四国支店
6001034,■株式会社雷,1300011,加藤産業株式会社北近畿支社北大阪支店
6001038,■間商事有限会社,1301614,旭食品株式会社広島支店
6001045,■光株式会社,1301625,旭食品株式会社京都支店
6001047,■高知県庁消費生活協同組合,1300050,旭食品株式会社中四国支社高知支店
6001050,■今治立花農業協同組合,1301609,旭食品株式会社松山支店新居浜営業所
6001056,■三菱マテリアル直島生活協同組合,1300032,藤徳物産株式会社岡山支店
6001059,■山崎製パン株式会社,1303006,三菱食品株式会社ＣＶＳ本部
6001069,■生活協同組合コープえひめ,1301684,三菱食品（株）中四国支社四国支店愛媛ユニット
6001070,■生活協同組合とくしま生協,1301610,旭食品株式会社徳島支店
6001077,■全国農業協同組合連合会高知県本部,1301615,旭食品株式会社中国支店
6001078,■大阪市公設市場株式会社,1303189,ヤマエ久野株式会社大阪支店食品課
6001086,■日東燃料工業株式会社,1300058,旭食品株式会社関東支店
6001087,■株式会社日東物産,1300055,旭食品株式会社松山支店
6001101,■有限会社いけびんストーア,1301616,*旭食品株式会社境港支店
6001109,■有限会社グルメ,1301627,旭食品株式会社神戸支店
6001120,■有限会社スーパーほりぐち,1301619,旭食品株式会社宮崎営業所
6001129,■有限会社ナニワヤ,1300003,加藤産業株式会社南関東支社南東京支店
6001130,■有限会社ハッピー川西,1305013,旭食品株式会社大阪支店
6001134,■賛栄商事株式会社,1300011,加藤産業株式会社北近畿支社北大阪支店
6001135,■有限会社フジマート,1300055,旭食品株式会社松山支店
6001143,■有限会社ヤマトストアー,1302957,国分中部株式会社静岡支店
6001144,■有限会社ユーアイマート,1300027,加藤産業株式会社中四国支社四国支店
6001151,■有限会社岡田商店,1302036,国分西日本株式会社山陰支店
6001167,■有限会社山田商店(京都),1301625,旭食品株式会社京都支店
6001176,■有限会社大松支店,1300062,伊藤忠食品株式会社東海営業本部
6001178,■有限会社大正フードセンター,1301612,旭食品株式会社宿毛支店
6001191,■有限会社油甚,1301624,旭食品株式会社和歌山支店
6003653,■株式会社ニュー・クイック,1301370,株式会社日本アクセス東京中央支店
6003667,■サンライズ坂本,1301850,ヤマエ久野株式会社熊本支店食品課
6003669,■１００円ショップグリーン,1300019,加藤産業株式会社西近畿支社神姫支店
6003670,■アークランドサカモト株式会社,1300806,加藤産業株式会社北関東支社新潟支店
6003671,■アキラ産業株式会社,1300161,国分関信越株式会社信越支社新潟支店
6003672,■イオンビッグ株式会社,1300022,加藤産業株式会社中部支社名古屋支店
6003674,■イオン九州株式会社,1300006,加藤産業株式会社九州支社福岡支店
6003675,■イオンリテール株式会社,1300008,加藤産業株式会社東関東支社千葉支店
6003678,■イオンリテール株式会社SUC,1300007,加藤産業株式会社東北支社仙台支店
6003679,■イオンリテール株式会社アコレ,1300003,加藤産業株式会社南関東支社南東京支店
6003681,■イオンリテール株式会社カフェランテ,1302822,イオンリテール株式会社（関東RDC）
6003682,■イオンリテール株式会社まいばすけっと,1300003,加藤産業株式会社南関東支社南東京支店
6003684,■イオン北海道株式会社,1301700,加藤産業株式会社北海道支社札幌支店
6003685,■イオン琉球株式会社,1300006,加藤産業株式会社九州支社福岡支店
6003688,■糸島農業協同組合,1300152,国分九州株式会社
6003693,■株式会社G7リコスストアズ,1301380,国分首都圏株式会社SM・生協営業部
6003695,■株式会社アカカベ,1300118,株式会社日本アクセス大阪支店
6003696,■株式会社秋田ト一屋,1301282,ボーキ佐藤株式会社秋田支店
6003697,■株式会社油屋,1300182,広川株式会社営業本部
6003699,■株式会社あみはま薬局,1301615,旭食品株式会社中国支店
6003701,■株式会社アレス,1300006,加藤産業株式会社九州支社福岡支店
6003702,■株式会社アローズ,1301803,加藤産業株式会社南近畿支社阪和支店
6003706,■株式会社ウェルパーク,1300061,伊藤忠食品株式会社東日本営業部
6003708,■株式会社エース,1300081,三菱食品株式会社九州支社営業ABC
6003710,■株式会社えびすや商店,1300009,加藤産業株式会社東関東支社足立支店
6003711,■株式会社大賀薬局,1300006,加藤産業株式会社九州支社福岡支店
6003712,■株式会社大倉,1301627,旭食品株式会社神戸支店
6003713,■株式会社オークワ,1300022,加藤産業株式会社中部支社名古屋支店
6003714,■株式会社オオゼキ,1300003,加藤産業株式会社南関東支社南東京支店
6003719,■株式会社オザム,1300014,加藤産業株式会社北関東支社多摩支店
6003720,■株式会社小田商店,1300025,加藤産業株式会社中四国支社岡山支店
6003724,■株式会社カジロジスティックス,1300004,加藤産業株式会社南関東支社湘南支店
6003726,■株式会社キシフォート,1300003,加藤産業株式会社南関東支社南東京支店
6003727,■株式会社杏林堂薬局,1302995,加藤産業株式会社中部支社静岡営業所
6003728,■株式会社くすりのコーエイ,1300006,加藤産業株式会社九州支社福岡支店
6003729,■株式会社熊本フレイン,1302935,旭食品株式会社中四国支社九州中央支店
6003730,■株式会社ケンゾー,1300015,加藤産業株式会社北関東支社埼玉支店
6003731,■株式会社神戸物産西日本,1300182,広川株式会社営業本部
6003737,■株式会社サカガミグッドファーム,1300056,旭食品株式会社首都圏支店
6003741,■株式会社サンコー,1300029,今津株式会社
6003743,■株式会社三善,1302995,加藤産業株式会社中部支社静岡営業所
6003745,■株式会社ジェーソン,1300008,加藤産業株式会社東関東支社千葉支店
6003746,■株式会社シバタ,1302995,加藤産業株式会社中部支社静岡営業所
6003747,■株式会社島田屋,1301375,三菱食品株式会社営業第一本部第三グループ
6003749,■株式会社十字屋商店,1300056,旭食品株式会社首都圏支店
6003753,■株式会社スーパー藤原,1305584,丸大堀内株式会社青森支店
6003755,■株式会社スーパーヨシムラ（卸値市場ヨシムラ＆ハッスル）,1303189,ヤマエ久野株式会社大阪支店食品課
6003758,■株式会社ステーションフード,1300152,国分九州株式会社
6003759,■株式会社トモズ,1300167,国分関信越株式会社埼玉支店
6003760,■株式会社セキ薬品,1300167,国分関信越株式会社埼玉支店
6003762,■株式会社大黒流通チェーン,1300003,加藤産業株式会社南関東支社南東京支店
6003763,■株式会社大地,1301399,ユアサ・フナショク株式会社横浜支店
6003766,■株式会社竹之下,1300006,加藤産業株式会社九州支社福岡支店
6003770,■株式会社たもり,1300679,ボーキ佐藤株式会社盛岡支店
6003771,■株式会社つかさ屋,1300007,加藤産業株式会社東北支社仙台支店
6003772,■株式会社津名ショッピングセンター,1300019,加藤産業株式会社西近畿支社神姫支店
6003774,■株式会社東神,1300020,加藤産業株式会社西近畿支社阪神支店
6003775,■株式会社トップマート,1301397,ユアサ・フナショク株式会社千葉支店
6003776,■株式会社トミヤ,1300003,加藤産業株式会社南関東支社南東京支店
6003778,■ＪＲ九州ドラッグイレブン株式会社,1300006,加藤産業株式会社九州支社福岡支店
6003779,■株式会社とりせん,1300015,加藤産業株式会社北関東支社埼玉支店
6003780,■株式会社ナイス,1301282,ボーキ佐藤株式会社秋田支店
6003782,■株式会社ナガタ薬品,1300019,加藤産業株式会社西近畿支社神姫支店
6003786,■株式会社ヒバリヤ,1302995,加藤産業株式会社中部支社静岡営業所
6003788,■株式会社ファミリーマート,1300014,加藤産業株式会社北関東支社多摩支店
6003790,■株式会社フジ,1301684,三菱食品（株）中四国支社四国支店愛媛ユニット
6003791,■不二商事株式会社,1305013,旭食品株式会社大阪支店
6003792,■株式会社フルタヤ,1302995,加藤産業株式会社中部支社静岡営業所
6003793,■株式会社文化堂,1301908,株式会社サンヨー堂東京東支店
6003794,■株式会社平和堂,1300010,加藤産業株式会社北近畿支社京都支店
6003797,■株式会社ベルク,1300058,旭食品株式会社関東支店
6003799,■株式会社ホームセンターアグロ,1300019,加藤産業株式会社西近畿支社神姫支店
6003802,■株式会社まるいちフードセンター(福島),1300199,ボーキ佐藤株式会社郡山支店
6003807,■株式会社マルニ,1300007,加藤産業株式会社東北支社仙台支店
6003808,■株式会社マルハチ,1300019,加藤産業株式会社西近畿支社神姫支店
6003818,■株式会社やまか,1300088,三菱食品株式会社営業第二本部神奈川エリアオフィス
6003819,■株式会社ヤマザワ,1301607,加藤産業株式会社東北支社山形営業所
6003821,■株式会社ユニカムドラッグ,1305013,旭食品株式会社大阪支店
6003823,■株式会社吉池,1300009,加藤産業株式会社東関東支社足立支店
6003824,■株式会社リカーマウンテン,1305030,株式会社リカマンホールディングス
6003825,■株式会社レディ薬局,1300028,加藤産業株式会社中四国支社広島支店
6003826,■株式会社和光,1300182,広川株式会社営業本部
6003827,■株式会社ワタナベ,1301607,加藤産業株式会社東北支社山形営業所
6003832,■極東ファディ株式会社,1302104,*加藤産業株式会社九州支社山口営業所
6003836,■島屋株式会社,1300184,カナカン株式会社食品富山営業所
6003845,■生活協同組合おかやまコープ,1300025,加藤産業株式会社中四国支社岡山支店
6003846,■生活協同組合コープおきなわ,1301748,株式会社湧川商会
6003847,■生活協同組合コープかがわ,1300027,加藤産業株式会社中四国支社四国支店
6003848,■株式会社稲田,1300028,加藤産業株式会社中四国支社広島支店
6003851,■ダイレックス株式会社,1300028,加藤産業株式会社中四国支社広島支店
6003854,■たつみストアー株式会社,1302995,加藤産業株式会社中部支社静岡営業所
6003857,■ナガヤ株式会社,1300004,加藤産業株式会社南関東支社湘南支店
6003862,■日田市民生活協同組合,1300189,コゲツ産業（株）福岡支店
6003866,■紅屋商事株式会社,1301608,加藤産業株式会社東北支社秋田支店
6003868,■株式会社フレスコ,1300056,旭食品株式会社首都圏支店
6003869,■マックスバリュ関東株式会社,1300008,加藤産業株式会社東関東支社千葉支店
6003870,■マックスバリュ九州株式会社,1300006,加藤産業株式会社九州支社福岡支店
6003871,■マックスバリュ九州株式会社BIG,1303065,イオンリテール株式会社（九州RDC)
6003872,■マックスバリュ西日本株式会社,1300025,加藤産業株式会社中四国支社岡山支店
6003875,■マックスバリュ中部株式会社,1300019,加藤産業株式会社西近畿支社神姫支店
6003876,■マックスバリュ長野株式会社,1300022,加藤産業株式会社中部支社名古屋支店
6003878,■マックスバリュ南東北株式会社,1300007,加藤産業株式会社東北支社仙台支店
6003880,■マックスバリュ北海道株式会社,1301700,加藤産業株式会社北海道支社札幌支店
6003884,■マックスバリュ北陸株式会社,1300022,加藤産業株式会社中部支社名古屋支店
6003887,■丸高商事株式会社,1300126,株式会社日本アクセス長崎支店
6003889,■ミニストップ株式会社,1300003,加藤産業株式会社南関東支社南東京支店
6003894,■株式会社イセダ屋(兵庫/酒),1300019,加藤産業株式会社西近畿支社神姫支店
6003895,■有限会社入谷食品センター,1300026,加藤産業株式会社中四国支社高松支店
6003901,■有限会社スーパーウエスト,1301951,加藤産業株式会社九州支社長崎支店
6003902,■有限会社住友商店,1301610,旭食品株式会社徳島支店
6003904,■有限会社つばき屋,1301951,加藤産業株式会社九州支社長崎支店
6003905,■有限会社トーエー,1301608,加藤産業株式会社東北支社秋田支店
6003906,■有限会社ドジャース商事,1301608,加藤産業株式会社東北支社秋田支店
6003911,■ユニバーサルドラッグ株式会社,1300009,加藤産業株式会社東関東支社足立支店
6003915,■株式会社三和,1300004,加藤産業株式会社南関東支社湘南支店
6003924,■株式会社日敷,1300179,丸大堀内株式会社横手支店
6003962,■スーパーヤオスズ株式会社,1300077,株式会社大物
6003964,■株式会社サークルワン,1300028,加藤産業株式会社中四国支社広島支店
6003965,■有限会社ママノ店シバノ,1301516,株式会社日本アクセス神戸支店
6012755,■株式会社コクミン,1301804,加藤産業株式会社南近畿支社阪南支店
6012758,■ＡＮＣ関西株式会社スーパーサンエー,1305013,旭食品株式会社大阪支店
6012770,■株式会社マロード(京都/メッサ北野),1301625,旭食品株式会社京都支店
6012809,■株式会社トライウェル,1300058,旭食品株式会社関東支店
6012812,■マックスバリュ東北株式会社BIG,1300007,加藤産業株式会社東北支社仙台支店
6012887,■株式会社やまや,1305572,やまや商流株式会社（名古屋）
6012888,■株式会社エイチジーシー,1302019,三菱食品株式会社関西支社営業第四部
6012901,■株式会社一号舘,1300095,三菱食品株式会社中部支社営業部
6012903,■生活協同組合コープやまぐち,1300006,加藤産業株式会社九州支社福岡支店
6012907,■株式会社西岡酒店,1301624,旭食品株式会社和歌山支店
6012908,■株式会社三ツ丸ストア,1301625,旭食品株式会社京都支店
6012910,■株式会社食品館空港,1303184,三菱食品株式会社関東支社加食本部営業第一部
6012911,■株式会社岩喜,1301625,旭食品株式会社京都支店
6013251,■ライフケアスポットタカハラ,1300032,藤徳物産株式会社岡山支店
6013253,■博多ステーションフード株式会社,1302935,旭食品株式会社中四国支社九州中央支店
6013255,■有限会社山科食品,1303189,ヤマエ久野株式会社大阪支店食品課
6013258,■有限会社森山,1300052,旭食品株式会社大阪南支店
6013259,■株式会社大橋商店,1301615,旭食品株式会社中国支店
6013275,■有限会社岡南,1301615,旭食品株式会社中国支店
6013288,■有限会社マルイチ,1301853,ヤマエ久野株式会社宮崎支店食品課
6013296,■有限会社ドラッグフジカワ,1301612,旭食品株式会社宿毛支店
6013303,■香川県農業協同組合,1300059,旭食品株式会社四国支店
6013508,■株式会社だいまる,1300820,国分関信越株式会社栃木支社
6013510,■マツサカ株式会社,1300025,加藤産業株式会社中四国支社岡山支店
6013512,■株式会社希望の店,1300137,株式会社サンヨー堂福岡支店
6013513,■有限会社スーパーぬきさこ,1300137,株式会社サンヨー堂福岡支店
6013516,■株式会社丸正高木商店,1300029,今津株式会社
6013517,■麻生芳雄商事株式会社,1302935,旭食品株式会社中四国支社九州中央支店
6013522,■株式会社スーパーもりかわ,1300052,旭食品株式会社大阪南支店
6013523,■株式会社瀬川食品,1300136,株式会社サンヨー堂大阪支店
6013525,■北辰商事株式会社,1300044,三井物産流通G（株）首都圏支社東京営業部営業第一室
6013527,■株式会社玉城,1300170,国分中部株式会社伊勢支店
6013530,■株式会社佐野屋,1300050,旭食品株式会社中四国支社高知支店
6013548,■株式会社トウズ,1301373,株式会社日本アクセス千葉支店
6013550,■株式会社ニシイチドラッグ,1305013,旭食品株式会社大阪支店
6013800,■株式会社トップワン,1300727,三井物産流通グループ株式会社中部支社量販営業部
6013801,■有限会社スーパーウチヤマダ,1301619,旭食品株式会社宮崎営業所
6013806,■有限会社リアル,1301614,旭食品株式会社広島支店
6013807,■株式会社クリシマ,1300056,旭食品株式会社首都圏支店
6013894,■ショッピングのだ,1302024,加藤産業株式会社九州支社宮崎営業所
6013898,■株式会社マルイチ(宮崎),1301397,ユアサ・フナショク株式会社千葉支店
6013963,■ＡＮＣ東海株式会社ニューライフフジ,1302957,国分中部株式会社静岡支店
6014009,■株式会社よしや,1300058,旭食品株式会社関東支店
6014024,■株式会社三平,1300056,旭食品株式会社首都圏支店
6014080,■魚住商店,1300050,旭食品株式会社中四国支社高知支店
6014111,■一富士フードサービス株式会社,1300027,加藤産業株式会社中四国支社四国支店
6014147,■株式会社エフ・クライミング,1300056,旭食品株式会社首都圏支店
6014150,■株式会社コイズミ産業,1300154,国分首都圏株式会社
6014152,■株式会社饒田,1302814,国分首都圏株式会社神奈川支社
6014269,■株式会社丸喜,1300006,加藤産業株式会社九州支社福岡支店
6014270,■株式会社ハットリー,1301853,ヤマエ久野株式会社宮崎支店食品課
6014271,■有限会社二軒屋商店,1301615,旭食品株式会社中国支店
6014273,■有限会社中央ストアー黒木,1300137,株式会社サンヨー堂福岡支店
6014274,■株式会社海星ムサシ,1301616,*旭食品株式会社境港支店
6014283,■株式会社ジャパンミート,1306613,株式会社ジャパンミート
6014284,■株式会社富士マート,1300058,旭食品株式会社関東支店
6014315,■株式会社スーパーまるまつ,1302935,旭食品株式会社中四国支社九州中央支店
6014570,■ビバ甲子園,1301627,旭食品株式会社神戸支店
6014587,■神崎屋,1300010,加藤産業株式会社北近畿支社京都支店
6014594,■株式会社スーパーみらべる,1300154,国分首都圏株式会社
6014713,■株式会社デハラ,1301804,加藤産業株式会社南近畿支社阪南支店
6014714,■株式会社豊月,1303297,三井物産流通グループ株式会社北海道支社食品営業部
