판매처코드,소매처코드
1300071,6154337
1300071,6164643
1300071,6154334
1300072,6152423
1300072,6152513
1300072,6000492
1300073,6023441
1300073,6049544
1300073,6162163
1300073,6000323
1300074,6022472
1300076,6000766
1300077,6152446
1300077,6164636
1300077,6152419
1300077,6033130
1300077,6003962
1300077,6000600
1300077,6022494
1300077,6152477
1300077,6162176
1300077,6196410
1300077,6000956
1300077,6152612
1300077,6041012
1300077,6152424
1300077,6152494
1300077,6162175
1300077,6000882
1300077,6152470
1300077,6154360
1300077,6013516
1300077,6152455
1300077,6152699
1300077,6152668
1300077,6000584
1300077,6000884
1300077,6152495
1300077,6152434
1300077,6152489
1300080,6157254
1300080,6022469
1300080,6034005
1300081,6025945
1300081,6120737
1300081,6003708
1300081,6038122
1300081,6025938
1300081,6025939
1300081,6022405
1300081,6022483
1300081,6028792
1300081,6022491
1300081,6027641
1300088,6022424
1300088,6003818
1300088,6000417
1300088,6022465
1300088,6022463
1300088,6022472
1300088,6022461
1300088,6022393
1300088,6022496
1300088,6196160
1300088,6022426
1300088,6022478
1300088,6035510
1300088,6022425
1300089,6022480
1300095,6012901
1300095,6000944
1300095,6065843
1300095,6022452
1300095,6022430
1300095,6022408
1300095,6022402
1300095,6047670
1300095,6022453
1300099,6055373
1300099,6164653
1300099,6022401
1300099,6022395
1300099,6028793
1300099,6021019
1300101,6022418
1300101,6022415
1300101,6022419
1300101,6022417
1300114,6164487
1300114,6153973
1300114,6047989
1300114,6152499
1300114,6152478
1300117,6035552
1300118,6035509
1300118,6017889
1300118,6035513
1300118,6152615
1300118,6056875
1300118,6152397
1300118,6003695
1300118,6164489
1300118,6035500
1300119,6035534
1300119,6035521
1300119,6000495
1300119,6000496
1300120,6055640
1300120,6035525
1300122,6034926
1300122,6152565
1300122,6016654
1300122,6016671
1300122,6152621
1300123,6035502
1300123,6022400
1300124,6049273
1300125,6035516
1300125,6000892
1300125,6000896
1300125,6084157
1300126,6035539
1300126,6035536
1300126,6003887
1300126,6152695
1300126,6021730
1300126,6035528
1300126,6154079
1300127,6035511
1300128,6035529
1300128,6050905
1300128,6035503
