소매처코드,소매처명
6000948,ＴＨＤ中国株式会社ユアーズ・Ｖ
6000954,よどや
6000956,リバティ長岡
6000958,ロピア
6000958,関西ロピア
6000960,ワタナベストアー
6000965,加藤産業株式会社南関東支社南東京支店
6000965,荏原屋
6000967,音通エフ・リテール
6000969,灰吹屋薬局
6000970,丸久
6000970,国分西日本株式会社山口支店
6000971,丸合
6000978,ローソンストア１００
6000978,国分中部株式会社
6000978,国分首都圏株式会社ＳＭ・生協営業部
6000978,国分首都圏株式会社神奈川支社
6000978,国分西日本株式会社近畿支社
6000987,三井食品株式会社中部支社中部営業部
6000987,三米本店
6000987,サンヨネ
6000988,加藤産業株式会社北近畿支社北大阪支店
6000988,三豊
6000992,山信商店
6000992,伊藤忠食品株式会社東海営業本部
6000993,生鮮館山彦
6000993,山彦
6000993,加藤産業株式会社中部支社名古屋支店
6000994,加藤産業株式会社南近畿支社阪和支店
6000994,山本酒店
6000999,小林食品
6000999,コゲツ産業株式会社福岡支店
6001001,松山生協
6001001,加藤産業株式会社中四国支社四国支店
6001003,食品の店おおた
6001004,神鉄エンタープライズ
6001004,ＴＨＤ関西株式会社神鉄エンターＰ
6001004,加藤産業株式会社西近畿支社神姫支店
6001005,瀬戸内
6001006,石川屋
6001010,大国屋
6001013,加藤産業株式会社南関東支社南東京支店
6001013,大門サンケイ
6001016,中村屋＜奈良＞
6001016,中村屋（奈良）
6001027,加藤産業株式会社東北支社山形営業所
6001027,武田商店
6001031,末広
6001032,木村チェーン
6001032,加藤産業株式会社中四国支社四国支店
6001034,加藤産業株式会社北近畿支社北大阪支店
6001034,雷
6001038,間商事有限会社
6001045,光株式会社
6001045,光
6001047,高知県庁消費生活協同組合
6001050,今治立花農業協同組合
6001050,加藤産業株式会社中四国支社四国支店
6001056,藤徳物産株式会社岡山支店
6001056,三菱マテリアル直島生活協同組合
6001059,山崎製パン
6001059,三菱食品株式会社ＣＶＳ本部九州
6001059,山崎製パン株式会社
6001059,山崎製パンデイリーヤマザキ
6001059,三菱食品株式会社ＣＶＳ本部東北
